Date,Nama,Qty Beli,Harga Beli,Qty Jual,Harga Jual
2019-01,BUKU TULIS 38 SIDU,0,0,8101,2298
2019-02,BUKU TULIS 38 SIDU,96000,1857,87712,2109
2019-03,BUKU TULIS 38 SIDU,120000,1857,114870,2140
2019-04,BUKU TULIS 38 SIDU,57600,1857,47544,2140
2019-05,BUKU TULIS 38 SIDU,224000,1949,218730,2167
2019-06,BUKU TULIS 38 SIDU,112000,1997,59951,2167
2019-07,BUKU TULIS 38 SIDU,16000,1997,0,0
2019-08,BUKU TULIS 38 SIDU,48000,1997,33856,2220
2019-09,BUKU TULIS 38 SIDU,16000,2017,10795,2220
2019-10,BUKU TULIS 38 SIDU,0,0,15736,2251
2019-11,BUKU TULIS 38 SIDU,8000,2017,5090,2251
2019-12,BUKU TULIS 38 SIDU,0,0,0,0
2020-01,BUKU TULIS 38 SIDU,32000,1916,31770,2155
2020-02,BUKU TULIS 38 SIDU,192000,1845,192866,2093
2020-03,BUKU TULIS 38 SIDU,160000,1815,127309,2093
2020-04,BUKU TULIS 38 SIDU,0,0,9087,2140
2020-05,BUKU TULIS 38 SIDU,0,0,1882,2220
2020-06,BUKU TULIS 38 SIDU,32000,2017,23578,2220
2020-07,BUKU TULIS 38 SIDU,32000,2017,50816,2251
2020-08,BUKU TULIS 38 SIDU,16000,2017,19162,2251
2020-09,BUKU TULIS 38 SIDU,0,0,2082,2251
2020-10,BUKU TULIS 38 SIDU,0,0,0,0
2020-11,BUKU TULIS 38 SIDU,0,0,0,0
2020-12,BUKU TULIS 38 SIDU,0,0,0,0
2021-01,BUKU TULIS 38 SIDU,0,0,0,0
2021-02,BUKU TULIS 38 SIDU,0,0,0,0
2021-03,BUKU TULIS 38 SIDU,0,0,0,0
2021-04,BUKU TULIS 38 SIDU,0,0,0,0
2021-05,BUKU TULIS 38 SIDU,0,0,0,0
2021-06,BUKU TULIS 38 SIDU,0,0,2880,2296
2021-07,BUKU TULIS 38 SIDU,0,0,23478,2296
2021-08,BUKU TULIS 38 SIDU,24000,2234,22936,2515
2021-09,BUKU TULIS 38 SIDU,38400,2234,36471,2515
2021-10,BUKU TULIS 38 SIDU,28800,2234,31464,2515
2021-11,BUKU TULIS 38 SIDU,35200,2234,37805,2515
2021-12,BUKU TULIS 38 SIDU,28800,2268,26205,2515
2022-01,BUKU TULIS 38 SIDU,0,0,32120,2596
2022-02,BUKU TULIS 38 SIDU,157760,2364,92561,2657
2022-03,BUKU TULIS 38 SIDU,0,0,25560,2673
2022-04,BUKU TULIS 38 SIDU,200000,2455,113736,2693
2022-05,BUKU TULIS 38 SIDU,64000,2490,37845,2796
2022-06,BUKU TULIS 38 SIDU,0,0,59035,2796
2022-07,BUKU TULIS 38 SIDU,64000,2604,144313,2881
2022-08,BUKU TULIS 38 SIDU,19200,2643,32273,2965
2022-09,BUKU TULIS 38 SIDU,16000,2643,16000,2965
2022-10,BUKU TULIS 38 SIDU,24000,2643,10613,2965
2022-11,BUKU TULIS 38 SIDU,24000,2490,32349,2828
2022-12,BUKU TULIS 38 SIDU,1600,2490,6671,2828
2023-01,BUKU TULIS 38 SIDU,33600,2490,50605,2828
2023-02,BUKU TULIS 38 SIDU,153600,2515,122336,2828
2023-03,BUKU TULIS 38 SIDU,96000,2541,57874,2884
2023-04,BUKU TULIS 38 SIDU,48000,2541,6729,2884
2023-05,BUKU TULIS 38 SIDU,14400,2630,57315,2954
2023-06,BUKU TULIS 38 SIDU,80000,2630,52751,2954
2023-07,BUKU TULIS 38 SIDU,121600,2630,198370,2954
2023-08,BUKU TULIS 38 SIDU,40000,2630,35825,2954
2023-09,BUKU TULIS 38 SIDU,19200,2630,24032,2954
2023-10,BUKU TULIS 38 SIDU,32000,2630,24094,2954
2023-11,BUKU TULIS 38 SIDU,41600,2467,50140,2954
2023-12,BUKU TULIS 38 SIDU,32000,2305,32003,2890
2024-01,BUKU TULIS 38 SIDU,48000,2426,48006,2890
2024-02,BUKU TULIS 38 SIDU,80000,2426,49743,2892
2024-03,BUKU TULIS 38 SIDU,40000,2488,50302,2892
2024-04,BUKU TULIS 38 SIDU,195200,2552,180594,2892
2024-05,BUKU TULIS 38 SIDU,160000,2605,35373,2892
2024-06,BUKU TULIS 38 SIDU,0,0,80132,2967
2024-07,BUKU TULIS 38 SIDU,136000,2605,114181,2967
2024-08,BUKU TULIS 38 SIDU,0,0,19090,2967
2024-09,BUKU TULIS 38 SIDU,0,0,10920,2967
2024-10,BUKU TULIS 38 SIDU,32000,2226,6485,2856
2024-11,BUKU TULIS 38 SIDU,24000,2226,19283,2856
2024-12,BUKU TULIS 38 SIDU,0,0,44981,2856
